Airline,Callsign,Name,Country code
BHP,BELAIR,Belair Airlines,CHE
BHS,BAHAMAS,Bahamasair,BHS
BKP,BANGKOK AIR,Bangkok Airways,THA
BLA,BLUE AIR,Blue Air,ROU
BLS,BEARSKIN,Bearskin Airlines,CAN
BLX,BLUE SCAN,TUI Fly Nordic,SWE
BMA,MIDLAND,British Midland Airways,GBR
BMM,ATLAS BLUE,Atlas Blue,MAR
BMR,KITTYWAKE,BMI Regional,GBR
BNF,BRANIFF,Braniff International,USA
BOA,SPEED BIRD,British Overseas Airways Corporation,GBR
BON,AIR BOSNA,BH Airlines,BIH
BOT,BOTSWANA,Air Botswana,BWA
BOV,BOLIVIANO,Boliviana de Aviacion,BOL
BOX,GERMAN CARGO,AeroLogic,DEU
BPA,BLUE PANORAMA,Blue Panorama Airlines,ITA
BPS,VANNIN,Manx2,GBR
BRG,BERING AIR,Bering Air,USA
BRH,BRIGHT STAR,BidAir Cargo,ZAF
BRI,BRINDABELLA,Brindabella Airlines,AUS
BRO,BROADSWORD,2 Excel Aviation,GBR
BRQ,BURAQAIR,El-Buraq Air Transport,LBY
BRU,BELARUS AVIA,Belavia,BLR
BTI,AIRBALTIC,Air Baltic,LVA
BTK,BATIK,Batik Air,IDN
BTQ,BOUTIQUE AIR,Boutique,USA
BTV,BATAVIA,Batavia Air,IDN
BVT,BERJAYA,Berjaya Air,MYS
BWA,CARIBBEAN AIRLINES,Caribbean Airlines,TTO
CAC,CHINA CARGO,China Airlines Cargo,CHN
CAI,CORENDON,Corendon Airlines,TUR
CAL,DYNASTY,China Airlines,TWN
CAO,AIRCHINA FREIGHT,Air China Cargo,CHN
CAV,CALM AIR,Calm Air,CAN
CAW,COMAIR,BA Comair,ZAF
CAY,CAYMAN,Cayman Airways,CYM
CBE,CLICK,Click Grupo Mexicana,MEX
CBG,GREEN CITY,GX Airlines,CHN
CBJ,CAPITAL JET,Beijing Capital Airlines,CHN
CCA,AIR CHINA,Air China,CHN
CCM,CORSICA,Corse-Mediterranee,FRA
CDC,LOONG AIR,Loong Air,CHN
CDN,CANADIAN,CANADIAN Airlines INT,CAN
CEB,CEBU AIR,Cebu Pacific,PHL
